更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV8,http://171.213.177.155:4022/rtp/239.94.0.8:5140
CCTV8,http://171.213.177.155:4022/rtp/239.94.0.35:5140
CCTV8,http://171.213.177.155:4022/rtp/239.94.2.29:5140
CCTV9,http://171.213.177.155:4022/rtp/239.94.2.32:5140
CCTV9,http://171.213.177.155:4022/rtp/239.94.0.9:5140
CCTV10,http://171.213.177.155:4022/rtp/239.94.0.10:5140
CCTV10,http://171.213.177.155:4022/rtp/239.94.2.31:5140
CCTV11,http://171.213.177.155:4022/rtp/239.94.0.11:5140
CCTV11,http://171.213.177.155:4022/rtp/239.94.0.36:5140
CCTV12,http://171.213.177.155:4022/rtp/239.94.0.12:5140
CCTV13,http://171.213.177.155:4022/rtp/239.94.0.13:5140
CCTV13,http://171.213.177.155:4022/rtp/239.94.0.37:5140
CCTV14,http://171.213.177.155:4022/rtp/239.94.0.14:5140
CCTV15,http://171.213.177.155:4022/rtp/239.94.0.15:5140
CCTV15,http://171.213.177.155:4022/rtp/239.94.0.38:5140
CCTV17,http://171.213.177.155:4022/rtp/239.94.0.39:5140
CCTV17,http://171.213.177.155:4022/rtp/239.94.0.17:5140
CGTN,http://171.213.177.155:4022/rtp/239.94.0.22:5140
CGTN,http://171.213.177.155:4022/rtp/239.94.0.40:5140
CGTN西语,http://171.213.177.155:4022/rtp/239.94.1.61:5140
CGTN西语,http://171.213.177.155:4022/rtp/239.94.1.65:5140
CGTN法语,http://171.213.177.155:4022/rtp/239.94.1.62:5140
CGTN法语,http://171.213.177.155:4022/rtp/239.94.1.66:5140
CCTV4K,http://171.213.177.155:4022/rtp/239.94.0.20:5140
九画面央视1,http://171.213.177.155:4022/rtp/239.94.2.128:5140
九画面央视1,http://171.213.177.155:4022/rtp/239.94.2.73:5140
九画面央视2,http://171.213.177.155:4022/rtp/239.94.2.129:5140
CCTV1,http://180.212.220.88:8888/rtp/225.1.1.120:5002
CCTV2,http://180.212.220.88:8888/rtp/225.1.1.133:5002
CCTV3,http://180.212.220.88:8888/rtp/225.1.1.158:5002
CCTV4,http://180.212.220.88:8888/rtp/225.1.1.150:5002
CCTV5,http://180.212.220.88:8888/rtp/225.1.1.160:5002
CCTV5+,http://180.212.220.88:8888/rtp/225.1.1.121:5002
CCTV6,http://180.212.220.88:8888/rtp/225.1.1.195:5002
CCTV7,http://180.212.220.88:8888/rtp/225.1.1.138:5002
CCTV8,http://180.212.220.88:8888/rtp/225.1.1.196:5002
CCTV9,http://180.212.220.88:8888/rtp/225.1.1.119:5002
CCTV10,http://180.212.220.88:8888/rtp/225.1.1.140:5002
CCTV11,http://180.212.220.88:8888/rtp/225.1.2.192:5002
CCTV12,http://180.212.220.88:8888/rtp/225.1.1.142:5002
CCTV13,http://180.212.220.88:8888/rtp/225.1.2.193:5002
CCTV14,http://180.212.220.88:8888/rtp/225.1.1.144:5002
CCTV15,http://180.212.220.88:8888/rtp/225.1.2.194:5002
CCTV16,http://180.212.220.88:8888/rtp/225.1.2.237:5002
CCTV17,http://180.212.220.88:8888/rtp/225.1.2.52:5002
CCTV兵器科技,http://180.212.220.88:8888/rtp/225.1.2.166:5002
CCTV第一剧场,http://180.212.220.88:8888/rtp/225.1.2.175:5002
CCTV电视指南,http://180.212.220.88:8888/rtp/225.1.2.167:5002
CCTV风云剧场,http://180.212.220.88:8888/rtp/225.1.2.174:5002
CCTV风云音乐,http://180.212.220.88:8888/rtp/225.1.2.176:5002
CCTV风云足球,http://180.212.220.88:8888/rtp/225.1.2.168:5002
CCTV高尔夫网球,http://180.212.220.88:8888/rtp/225.1.2.169:5002
CCTV怀旧剧场,http://180.212.220.88:8888/rtp/225.1.2.173:5002
CCTV女性时尚,http://180.212.220.88:8888/rtp/225.1.2.172:5002
CCTV世界地理,http://180.212.220.88:8888/rtp/225.1.2.171:5002
CCTV央视文化精品,http://180.212.220.88:8888/rtp/225.1.2.177:5002
CCTV央视台球,http://180.212.220.88:8888/rtp/225.1.2.170:5002
CGTN,http://180.212.220.88:8888/rtp/225.1.1.27:5002
CGTN纪录,http://180.212.220.88:8888/rtp/225.1.1.55:5002
新影老故事,http://180.212.220.88:8888/rtp/225.1.1.188:5002
新影中学生,http://180.212.220.88:8888/rtp/225.1.1.193:5002
CCTV1,http://183.164.63.181:5000/rtp/238.1.78.166:7200
CCTV2,http://183.164.63.181:5000/rtp/238.1.78.235:7752
CCTV3,http://183.164.63.181:5000/rtp/238.1.78.170:7232
CCTV4,http://183.164.63.181:5000/rtp/238.1.78.236:7760
CCTV5,http://183.164.63.181:5000/rtp/238.1.78.171:7240
CCTV6,http://183.164.63.181:5000/rtp/238.1.78.172:7248
CCTV7,http://183.164.63.181:5000/rtp/238.1.78.239:7784
CCTV8,http://183.164.63.181:5000/rtp/238.1.78.173:7256
CCTV9,http://183.164.63.181:5000/rtp/238.1.78.240:7792
CCTV10,http://183.164.63.181:5000/rtp/238.1.78.241:7800
CCTV11,http://183.164.63.181:5000/rtp/238.1.78.206:7502
CCTV12,http://183.164.63.181:5000/rtp/238.1.78.242:7808
CCTV13,http://183.164.63.181:5000/rtp/238.1.79.35:4392
CCTV14,http://183.164.63.181:5000/rtp/238.1.78.243:7816
